catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
SPA 105,Intermediate Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006662,Class #20899,C04A,M W F,12:30 pm - 01:20 pm,10-Oct,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #20901,C01,M T W Th F,09:00 am - 09:50 am,10-Aug,
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21680,C01A,M T W Th F,09:00 am - 09:50 am,10-Aug,
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #20900,C02,M T W Th F,10:00 am - 10:50 am,10-Oct,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21681,C02A,M T W Th F,10:00 am - 10:50 am,10-Oct,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21682,C02B,M T W Th F,10:00 am - 10:50 am,10-Sep,
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #20902,C03,M T W Th F,11:00 am - 11:50 am,10-Oct,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #20903,C04,M T W Th F,12:30 pm - 01:20 pm,10-Oct,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21683,C04A,M T W Th F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21684,C04B,M T W Th F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21685,C04C,M T W Th F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 107,Intermediate/Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006664,Class #21686,C04D,M T W Th F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #20905,C01,M W F,09:00 am - 09:50 am,10-Sep,
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #20906,C02,M W F,10:00 am - 10:50 am,10-Nov,Closed
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #22587,C02A,M W F,10:00 am - 10:50 am,10-Nov,Closed
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #20907,C03,M W F,12:30 pm - 01:20 pm,10-Sep,
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #22588,C03A,M W F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 108,Advanced Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006665,Class #22589,C03B,M W F,12:30 pm - 01:20 pm,10-Nov,Closed
SPA 205,Medical Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012677,Class #20910,C01,M W F,12:30 pm - 01:20 pm,10-Sep,
SPA 205,Medical Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012677,Class #22912,C01A,M W F,12:30 pm - 01:20 pm,10-Oct,Closed
SPA 205,Medical Spanish,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012677,Class #22796,C02,M W F,11:00 am - 11:50 am,0/0,Canceled
SPA 207,Studies in Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006669,Class #20913,C01,M W F,09:00 am - 09:50 am,0/0,Canceled
SPA 207,Studies in Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006669,Class #20912,C02,M W F,10:00 am - 10:50 am,10-Oct,Closed
SPA 207,Studies in Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006669,Class #20916,C02A,M W F,10:00 am - 10:50 am,10-Jul,
SPA 207,Studies in Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006669,Class #20914,C03,M W F,12:30 pm - 01:20 pm,10-Jul,
SPA 207,Studies in Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006669,Class #20917,C03A,M W F,12:30 pm - 01:20 pm,10-Aug,
SPA 209,Spanish Language and Culture through Cinema,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009308,Class #20919,C01,T Th,11:00 am - 12:20 pm,10-Aug,
SPA 209,Spanish Language and Culture through Cinema,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009308,Class #20921,C01A,T Th,11:00 am - 12:20 pm,10-Jun,
SPA 209,Spanish Language and Culture through Cinema,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009308,Class #20920,C02,T Th,01:30 pm - 02:50 pm,10-Jun,
SPA 209,Spanish Language and Culture through Cinema,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009308,Class #20922,C02A,T Th,01:30 pm - 02:50 pm,10-Apr,
SPA 213 / LAS 214 / GSS 213,Of Love and Other Demons,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012838,Class #22835,L01,M,11:00 am - 12:20 pm,15/18,
SPA 233 / LIN 233 / LAS 233,Languages of the Americas,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015213,Class #20923,C01,T Th,11:00 am - 12:20 pm,10-Oct,Closed
SPA 233 / LIN 233 / LAS 233,Languages of the Americas,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015213,Class #23096,C01A,T Th,11:00 am - 12:20 pm,10-Sep,
SPA 237 / LAS 237 / GSS 237,"Wildness, Whiteness, and Manliness in Colonial Latin America",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015691,Class #23360,L01,M W,01:30 pm - 02:20 pm,15-May,
SPA 250 / LAS 250 / HUM 251,Identity in the Hispanic World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014185,Class #22584,S01,T Th,11:00 am - 12:20 pm,15-Dec,
SPA 252 / HUM 252 / ECS 359,Narrating Pandemics Now,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015754,Class #23092,C01,W F,01:30 pm - 02:50 pm,12-Feb,
SPA 253,"Culture in Modern Spain: State, Bodies, and (Glotto) Politics",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015710,Class #22747,C01,M W,01:30 pm - 02:50 pm,0/0,Canceled
SPA 304 / LAO 304,Spanish in the Community,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013597,Class #22728,S01,T Th,11:00 am - 12:20 pm,12-Nov,Closed
SPA 307,Advanced Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006681,Class #20924,C01,M W,11:00 am - 12:20 pm,12-Sep,
SPA 307,Advanced Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006681,Class #22793,C01A,M W,11:00 am - 12:20 pm,12-Oct,
SPA 307,Advanced Spanish Language and Style,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006681,Class #20925,C02,M W,01:30 pm - 02:50 pm,12-Sep,
SPA 330 / POR 330,Junior Seminar: Spanish and Portuguese-Speaking Worlds,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013744,Class #20598,S01,W,01:30 pm - 04:20 pm,12-May,
SPA 342 / LAS 342,Topics in Latin American Modernity: The Culture of the Cuban Revolution,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006699,Class #20594,C01,T,01:30 pm - 04:20 pm,0/0,Canceled
SPA 345 / LAS 345,"Topics in Latin American Literature and Ideology: Art, Memory, and Human Rights in Latin America",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006702,Class #21051,S01,T,01:30 pm - 04:20 pm,16/15,Closed
SPA 388 / LAS 358,The Skins of the Film: Latin America and the Politics of Touching,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015696,Class #22630,S01,Th,01:30 pm - 03:20 pm,15-Nov,
SPA 390,Recent Experiments in Spanish Literature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015626,Class #22501,S01,M W,11:00 am - 12:20 pm,0/0,Canceled
SPA 391,How to Write a Novel: Fiction Workshop,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015625,Class #22500,S01,M W,01:30 pm - 02:50 pm,0/0,Canceled
SPA 392 / LAS 392,The Fiction of Mario Vargas Llosa,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015759,Class #23109,S01,T,01:30 pm - 03:20 pm,15-Feb,
SPA 395,On the Imagination in Pandemic Times in Contemporary Iberian Cultures,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015711,Class #22748,S01,M W,11:00 am - 12:20 pm,0/0,Canceled
SPA 396 / LAS 396,Poetry Matters: Latin American Poets and the Power of Language,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015731,Class #22916,L01,M,01:30 pm - 02:50 pm,15-Sep,
SPA 407 / ECS 407,Contemporary Spain: An Advanced Introduction,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015755,Class #23093,C01,F,09:00 am - 11:50 am,12-Jun,
SPA 548 / COM 548,Seminar in Modern Spanish-American Literature: Reading for Pleasure: Psychoanalysis for Literary Critics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006721,Class #22104,S01,W,01:30 pm - 04:20 pm,17/20,
SPA 550 / LAS 550 / GSS 550,"Seminar in Colonial Spanish American Literature: Juana Inés de la Cruz, fénix de América",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006723,Class #21062,S01,T,01:30 pm - 04:20 pm,12-May,
SPA 552 / LAS 552,Mimesis and Difference in Modern Latin American Literature and Art,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015708,Class #22729,S01,Th,01:30 pm - 04:20 pm,14/20,
SPI 300,Microeconomics for Public Policy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012094,Class #23424,S01,M T W,09:00 am - 09:50 am,19/20,Closed
SPI 302 / ECO 359,International Development,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011753,Class #22371,L01,T Th,10:00 am - 10:50 am,39/55,
SPI 306 / ECO 329 / ENV 319,Environmental Economics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001405,Class #21039,L01,T Th,01:30 pm - 02:50 pm,21/30,
SPI 316 / POL 399,China's Foreign Relations,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011860,Class #22076,L01,T Th,09:00 am - 09:50 am,63/85,
SPI 324 / POL 371,Designing Democracy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015723,Class #22825,L01,,,30-Dec,
SPI 328 / URB 328,Crime and Violence in U.S. Cities,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015697,Class #22631,S01,W,01:30 pm - 04:20 pm,25-Dec,
SPI 331 / SOC 312 / AAS 317,Race and Public Policy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010405,Class #21030,L01,M W,11:00 am - 11:50 am,44/60,
SPI 340 / PSY 321,The Psychology of Decision Making and Judgment,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006765,Class #21158,L01,,,107/110,
SPI 370 / POL 308 / CHV 301,Ethics and Public Policy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006754,Class #22037,L01,T Th,11:00 am - 11:50 am,96/∞,
SPI 373 / GSS 205,"Women, Law and Public Policy",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015662,Class #22548,L01,T Th,08:30 am - 09:50 am,37/39,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22867,S01,T Th,07:30 pm - 08:50 pm,15-Feb,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22868,S02,M,01:30 pm - 04:20 pm,15-Feb,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22869,S03,M,07:30 pm - 08:50 pm,15-Feb,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22869,S03,T,07:30 pm - 08:50 pm,15-Feb,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22870,S04,M,01:30 pm - 04:20 pm,15-Jan,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22871,S05,M,01:30 pm - 04:20 pm,15-Jan,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22872,S06,M,01:30 pm - 04:20 pm,15-Feb,
SPI 401,Policy Seminars,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=006771,Class #22873,S07,M,01:30 pm - 04:20 pm,10-Feb,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22815,C01,T Th,07:30 pm - 08:50 pm,10-Aug,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22817,C02,M,01:30 pm - 02:50 pm,10-Sep,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22817,C02,M,07:30 pm - 08:50 pm,10-Sep,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22818,C03,M,01:30 pm - 04:20 pm,10-Sep,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22819,C04,M,01:30 pm - 02:50 pm,10-Aug,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22819,C04,M,07:30 pm - 08:50 pm,10-Aug,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22820,C05,M,01:30 pm - 02:50 pm,10-Jul,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22820,C05,M,07:30 pm - 08:50 pm,10-Jul,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22821,C06,M,07:30 pm - 08:50 pm,10-Sep,
SPI 403,Policy Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012121,Class #22821,C06,Th,07:30 pm - 08:50 pm,10-Sep,
SPI 409,Modern India: Political Economy Since Independence,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015707,Class #22725,S01,T Th,03:00 pm - 04:20 pm,0/0,Canceled
SPI 466 / HIS 467,Financial History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012093,Class #22075,L01,,,37/60,
SPI 466 / HIS 467,Financial History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012093,Class #22075,L01,M,07:30 pm - 08:20 pm,37/60,
SPI 500,Extramural Public Policy Fellowship,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013407,Class #22656,S01,TBA,,10-Apr,Closed
